[2026-07-24T15:54:34.517Z] GET http://localhost:3000/login → pending (?ms, ?B)
[2026-07-24T15:54:35.792Z] GET http://localhost:3000/_next/static/media/793968fa3513f5d6-s.p.woff2 → 200 (14ms, 39692B)
[2026-07-24T15:54:35.792Z] GET http://localhost:3000/_next/static/media/e4af272ccee01ff0-s.p.woff2 → 200 (13ms, 48432B)
[2026-07-24T15:54:35.792Z] GET http://localhost:3000/_next/static/css/app/layout.css?v=1784908475671 → 200 (6ms, 6501B)
[2026-07-24T15:54:35.792Z] GET http://localhost:3000/_next/static/chunks/webpack.js?v=1784908475671 → 200 (15ms, 27869B)
[2026-07-24T15:54:35.792Z] GET http://localhost:3000/_next/static/chunks/main-app.js?v=1784908475671 → 200 (140ms, 1763187B)
[2026-07-24T15:54:35.792Z] GET http://localhost:3000/_next/static/chunks/app-pages-internals.js → 200 (37ms, 63967B)
[2026-07-24T15:54:35.792Z] GET http://localhost:3000/_next/static/chunks/app/error.js → 200 (37ms, 61435B)
[2026-07-24T15:54:35.793Z] GET http://localhost:3000/_next/static/chunks/app/not-found.js → 200 (35ms, 47754B)
[2026-07-24T15:54:35.793Z] GET http://localhost:3000/_next/static/chunks/app/(auth)/login/page.js → 200 (61ms, 625916B)
[2026-07-24T15:54:36.581Z] POST https://dgbtlcumzqkzjivwmjqe.supabase.co/auth/v1/token?grant_type=password → pending (?ms, ?B)
[2026-07-24T15:54:36.866Z] GET http://localhost:3000/dashboard?_rsc=nmyFLQq3sV5huFjw → 200 (652ms, ?B)
[2026-07-24T15:54:37.387Z] GET http://localhost:3000/_next/static/webpack/cbfeb17110a21830.webpack.hot-update.json → 200 (5ms, 44B)
[2026-07-24T15:54:37.392Z] GET http://localhost:3000/_next/static/webpack/webpack.cbfeb17110a21830.hot-update.js → 200 (140ms, 774B)
[2026-07-24T15:54:37.535Z] GET http://localhost:3000/dashboard?_rsc=YARl45dmeVER7bRN → pending (?ms, ?B)
[2026-07-24T15:54:37.603Z] GET http://localhost:3000/_next/static/chunks/app/(app)/layout.js → 200 (6ms, 61727B)
[2026-07-24T15:54:37.776Z] GET http://localhost:3000/_next/static/chunks/app/(app)/dashboard/page.js → 200 (9ms, 47760B)
[2026-07-24T15:54:37.777Z] GET http://localhost:3000/dashboard?_rsc=Ul3L28pCrx6Kc6xn → 200 (80ms, 7182B)
[2026-07-24T15:54:37.872Z] GET http://localhost:3000/_next/static/css/app/layout.css?v=1784908477849 → 200 (?ms, 6501B)
[2026-07-24T15:54:38.684Z] GET http://localhost:3000/tenders/d6bb009a-6773-4d80-9aba-fbade6f7453a/readiness → pending (?ms, ?B)
[2026-07-24T15:54:39.099Z] GET http://localhost:3000/_next/static/webpack/8e95813da8d5c993.webpack.hot-update.json → 200 (3ms, 31B)
[2026-07-24T15:54:39.103Z] GET http://localhost:3000/_next/static/webpack/webpack.8e95813da8d5c993.hot-update.js → 200 (20ms, 774B)
[2026-07-24T15:54:40.561Z] GET http://localhost:3000/_next/static/media/793968fa3513f5d6-s.p.woff2 → 200 (1ms, -300B)
[2026-07-24T15:54:40.562Z] GET http://localhost:3000/_next/static/media/e4af272ccee01ff0-s.p.woff2 → 200 (?ms, -300B)
[2026-07-24T15:54:40.563Z] GET http://localhost:3000/_next/static/css/app/layout.css?v=1784908479504 → 200 (11ms, 6501B)
[2026-07-24T15:54:40.571Z] GET http://localhost:3000/_next/static/chunks/webpack.js?v=1784908479504 → 200 (9ms, 27868B)
[2026-07-24T15:54:40.571Z] GET http://localhost:3000/_next/static/chunks/main-app.js?v=1784908479504 → pending (?ms, ?B)
[2026-07-24T15:54:40.571Z] GET http://localhost:3000/_next/static/chunks/app-pages-internals.js → 200 (11ms, 63967B)
[2026-07-24T15:54:40.571Z] GET http://localhost:3000/_next/static/chunks/app/error.js → 200 (11ms, 61435B)
[2026-07-24T15:54:40.571Z] GET http://localhost:3000/_next/static/chunks/app/not-found.js → 200 (12ms, 47754B)
[2026-07-24T15:54:40.571Z] GET http://localhost:3000/_next/static/chunks/app/(app)/layout.js → 200 (17ms, 61727B)
[2026-07-24T15:54:40.571Z] GET http://localhost:3000/_next/static/chunks/app/(app)/tenders/%5Bid%5D/readiness/page.js → 200 (22ms, 75076B)
[2026-07-24T15:54:42.522Z] POST http://localhost:3000/api/tenders/d6bb009a-6773-4d80-9aba-fbade6f7453a/prepare → pending (?ms, ?B)
[2026-07-24T15:54:42.837Z] GET http://localhost:3000/_next/static/webpack/dd1f1921ef9b2914.webpack.hot-update.json → 200 (23ms, 31B)
[2026-07-24T15:54:42.861Z] GET http://localhost:3000/_next/static/webpack/webpack.dd1f1921ef9b2914.hot-update.js → 200 (83ms, 774B)
[2026-07-24T15:55:10.773Z] GET http://localhost:3000/tenders/d6bb009a-6773-4d80-9aba-fbade6f7453a/readiness → pending (?ms, ?B)
[2026-07-24T15:55:11.850Z] GET http://localhost:3000/_next/static/media/793968fa3513f5d6-s.p.woff2 → 200 (?ms, -300B)
[2026-07-24T15:55:11.850Z] GET http://localhost:3000/_next/static/media/e4af272ccee01ff0-s.p.woff2 → 200 (?ms, -300B)
[2026-07-24T15:55:11.851Z] GET http://localhost:3000/_next/static/css/app/layout.css?v=1784908510935 → 200 (6ms, 6501B)
[2026-07-24T15:55:11.853Z] GET http://localhost:3000/_next/static/chunks/webpack.js?v=1784908510935 → 200 (13ms, 27870B)
[2026-07-24T15:55:11.854Z] GET http://localhost:3000/_next/static/chunks/main-app.js?v=1784908510935 → 200 (132ms, 1763187B)
[2026-07-24T15:55:11.854Z] GET http://localhost:3000/_next/static/chunks/app-pages-internals.js → 200 (15ms, 63967B)
[2026-07-24T15:55:11.854Z] GET http://localhost:3000/_next/static/chunks/app/error.js → 200 (15ms, 61435B)
[2026-07-24T15:55:11.854Z] GET http://localhost:3000/_next/static/chunks/app/not-found.js → 200 (16ms, 47754B)
[2026-07-24T15:55:11.854Z] GET http://localhost:3000/_next/static/chunks/app/(app)/layout.js → 200 (20ms, 61727B)
[2026-07-24T15:55:11.854Z] GET http://localhost:3000/_next/static/chunks/app/(app)/tenders/%5Bid%5D/readiness/page.js → 200 (25ms, 75076B)
[2026-07-24T15:57:14.704Z] GET http://localhost:3000/tenders/d6bb009a-6773-4d80-9aba-fbade6f7453a/readiness → pending (?ms, ?B)
[2026-07-24T15:57:15.753Z] GET http://localhost:3000/_next/static/media/793968fa3513f5d6-s.p.woff2 → 200 (?ms, -300B)
[2026-07-24T15:57:15.754Z] GET http://localhost:3000/_next/static/media/e4af272ccee01ff0-s.p.woff2 → 200 (?ms, -300B)
[2026-07-24T15:57:15.754Z] GET http://localhost:3000/_next/static/css/app/layout.css?v=1784908634858 → 200 (6ms, 6501B)
[2026-07-24T15:57:15.756Z] GET http://localhost:3000/_next/static/chunks/webpack.js?v=1784908634858 → 200 (9ms, 27870B)
[2026-07-24T15:57:15.756Z] GET http://localhost:3000/_next/static/chunks/main-app.js?v=1784908634858 → 200 (139ms, 1763187B)
[2026-07-24T15:57:15.756Z] GET http://localhost:3000/_next/static/chunks/app-pages-internals.js → 200 (15ms, 63967B)
[2026-07-24T15:57:15.757Z] GET http://localhost:3000/_next/static/chunks/app/error.js → 200 (14ms, 61435B)
[2026-07-24T15:57:15.757Z] GET http://localhost:3000/_next/static/chunks/app/not-found.js → 200 (13ms, 47754B)
[2026-07-24T15:57:15.757Z] GET http://localhost:3000/_next/static/chunks/app/(app)/layout.js → 200 (32ms, 61727B)
[2026-07-24T15:57:15.757Z] GET http://localhost:3000/_next/static/chunks/app/(app)/tenders/%5Bid%5D/readiness/page.js → 200 (32ms, 75076B)
[2026-07-24T15:57:15.787Z] GET http://localhost:3000/_next/static/media/8e9860b6e62d6359-s.woff2 → 200 (4ms, 85272B)
